,Model name,X_train,X_test,X_test1,X_test2,X_test3,X_test4,Epochs,Number of parameters,Batches,Learning rate,Train duration,Rotation range,Shear range,Shift range,Hor flip,Ver flip,Zoom range,Fill mode,Number of classes,Regularization Strength
0,23.11.2017 22:20:41,0.9261261261,0.5117117117,0.8288288288,0.0522522523,0.6198198198,0.5459459459,200,7618063,64,0.002,1142,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 12:50:35,0.9981981982,0.7373873874,0.9657657658,0.2144144144,0.8702702703,0.8990990991,10000,7609327,64,0.002,51518,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 13:34:4,0.9387387387387387,0.5067567567567568,0.818018018018018,0.04144144144144144,0.6144144144144145,0.5531531531531532,250,8973295,64,0.002,1287,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 14:44:21,0.8666666666666667,0.42657657657657655,0.7171171171171171,0.05225225225225225,0.4954954954954955,0.44144144144144143,200,7609327,64,0.002,971,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 15:36:9,0.9855855855855856,0.5932432432432433,0.9009009009009009,0.06846846846846846,0.7045045045045045,0.6990990990990991,500,7609327,64,0.002,2436,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 15:51:1,0.7783783783783784,0.36126126126126124,0.5981981981981982,0.07027027027027027,0.4126126126126126,0.36396396396396397,500,7609327,64,0.002,625,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 16:51:31,0.6378378378378379,0.2842342342342342,0.4882882882882883,0.036036036036036036,0.2936936936936937,0.31891891891891894,500,7609327,256,0.002,2544,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 17:32:17,0.9117117117117117,0.5806306306306306,0.818018018018018,0.11171171171171171,0.5315315315315315,0.8612612612612612,1000,7609327,64,0.002,1417,180,0,0.4,True,True,"[0.5, 1.6]",reflect,111,0.01
0,24.11.2017 17:34:40,1.0,0.7423423423423423,0.9711711711711711,0.2648648648648649,0.8324324324324325,0.9009009009009009,10000,15401839,64,0.002,68481,"[0, 0, 0, 180]",0,"[0.5, 0.4, 0.3, 0.4]",True,True,"[0, [0.55, 0.65], [1.45, 1.55], 0]",reflect,111,0.01
0,24.11.2017 22:54:11,0.990990990990991,0.5328828828828829,0.963963963963964,0.0990990990990991,0.5405405405405406,0.527927927927928,10000,7609327,64,0.002,9853,0,0,0.5,True,True,0,reflect,111,0.01
